FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
2,3,1,1,7,23,2,11,0,8,7,9,2,0,0,0,-1,0,18/08/2018,Chievo,Juventus,serie_a,3,9
1,2,1,1,9,11,5,6,4,7,8,5,0,0,0,0,-1,0,18/08/2018,Lazio,Napoli,serie_a,10,12
0,1,0,0,8,10,3,5,7,0,16,11,4,2,1,0,-1,0,19/08/2018,Bologna,Spal,serie_a,1,17
2,0,1,0,9,12,4,5,6,6,19,19,3,3,0,0,1,1,19/08/2018,Empoli,Cagliari,serie_a,4,2
2,2,1,0,9,16,6,6,4,5,10,13,2,2,0,0,0,1,19/08/2018,Parma,Udinese,serie_a,13,19
1,0,1,0,7,11,5,4,4,4,23,11,3,2,0,0,1,1,19/08/2018,Sassuolo,Inter,serie_a,16,8
0,1,0,0,8,16,5,13,6,5,10,14,1,3,0,0,-1,0,19/08/2018,Torino,Roma,serie_a,18,14
4,0,1,0,16,6,10,1,4,4,14,10,0,2,0,0,1,1,20/08/2018,Atalanta,Frosinone,serie_a,0,6
2,0,1,0,14,8,9,3,6,2,12,13,3,2,0,0,1,1,25/08/2018,Juventus,Lazio,serie_a,9,10
3,2,0,1,21,6,13,4,5,1,12,9,2,2,0,0,1,-1,25/08/2018,Napoli,Milan,serie_a,12,11
2,2,1,0,12,12,7,6,7,2,14,14,4,4,0,1,0,1,26/08/2018,Cagliari,Sassuolo,serie_a,2,16
6,1,2,0,19,5,15,3,2,3,14,8,1,3,0,0,1,1,26/08/2018,Fiorentina,Chievo,serie_a,5,3
0,0,0,0,11,10,7,5,2,5,15,12,2,1,0,0,0,0,26/08/2018,Frosinone,Bologna,serie_a,6,1
2,1,2,0,10,12,4,8,3,6,14,15,3,2,0,0,1,1,26/08/2018,Genoa,Empoli,serie_a,7,4
2,2,2,0,9,10,6,7,5,4,16,12,1,2,0,0,0,1,26/08/2018,Inter,Torino,serie_a,8,18
1,0,0,0,15,3,5,0,7,2,13,14,5,2,0,0,1,0,26/08/2018,Spal,Parma,serie_a,17,13
1,0,1,0,13,9,5,4,8,7,6,10,1,3,0,0,1,1,26/08/2018,Udinese,Sampdoria,serie_a,19,15
3,3,1,3,21,17,11,10,3,11,9,13,1,1,0,0,0,-1,27/08/2018,Roma,Atalanta,serie_a,14,0
2,1,1,0,18,6,9,3,8,3,8,6,0,2,0,0,1,1,31/08/2018,Milan,Roma,serie_a,11,14
0,3,0,0,7,10,1,4,3,7,7,10,1,1,0,0,-1,0,01/09/2018,Bologna,Inter,serie_a,1,8
1,2,1,1,8,20,7,10,4,7,15,9,1,3,0,0,-1,0,01/09/2018,Parma,Juventus,serie_a,13,9
0,1,0,1,8,4,5,3,5,4,16,20,2,2,0,0,-1,-1,02/09/2018,Atalanta,Cagliari,serie_a,0,2
0,0,0,0,11,12,5,4,4,6,10,11,1,1,0,0,0,0,02/09/2018,Chievo,Empoli,serie_a,3,4
1,0,0,0,13,4,4,1,11,4,10,15,3,1,0,0,1,0,02/09/2018,Fiorentina,Udinese,serie_a,5,19
1,0,0,0,17,7,8,5,7,7,11,8,1,2,0,0,1,0,02/09/2018,Lazio,Frosinone,serie_a,10,6
3,0,2,0,7,12,4,6,4,5,13,19,2,4,0,0,1,1,02/09/2018,Sampdoria,Napoli,serie_a,15,12
5,3,4,1,10,11,8,8,2,10,12,20,3,3,0,0,1,1,02/09/2018,Sassuolo,Genoa,serie_a,16,7
1,0,0,0,10,8,7,3,9,10,16,16,1,2,0,0,1,0,02/09/2018,Torino,Spal,serie_a,18,17
0,5,0,1,6,10,2,7,5,3,12,15,3,1,0,0,-1,-1,15/09/2018,Frosinone,Sampdoria,serie_a,6,15
0,1,0,0,24,8,11,6,10,1,10,8,2,2,0,0,-1,0,15/09/2018,Inter,Parma,serie_a,8,13
1,0,0,0,19,7,5,3,10,3,13,15,1,4,0,0,1,0,15/09/2018,Napoli,Fiorentina,serie_a,12,5
1,1,1,0,7,12,3,7,3,8,12,13,1,1,0,0,0,1,16/09/2018,Cagliari,Milan,serie_a,2,11
0,1,0,0,10,16,3,9,4,7,13,11,2,3,0,0,-1,0,16/09/2018,Empoli,Lazio,serie_a,4,10
