FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
3,0,2,0,17,5,7,2,4,1,13,11,1,0,0,0,1,1,19/08/2017,Juventus,Cagliari,serie_a,9,3
1,3,0,2,12,22,4,12,3,6,7,9,2,2,0,1,-1,-1,19/08/2017,Verona,Napoli,serie_a,19,12
0,1,0,1,14,6,6,1,4,1,14,16,1,2,0,0,-1,-1,20/08/2017,Atalanta,Roma,serie_a,0,13
1,1,1,1,13,9,3,3,0,8,18,10,2,1,0,0,0,0,20/08/2017,Bologna,Torino,serie_a,2,17
0,3,0,3,6,19,2,10,2,9,9,14,1,3,1,0,-1,-1,20/08/2017,Crotone,Milan,serie_a,5,11
3,0,2,0,16,15,6,3,9,7,7,13,0,1,0,0,1,1,20/08/2017,Inter,Fiorentina,serie_a,8,6
0,0,0,0,23,9,13,2,9,5,20,4,2,2,0,0,0,0,20/08/2017,Lazio,Spal,serie_a,10,16
2,1,1,1,16,18,6,7,6,7,10,10,1,2,0,0,1,0,20/08/2017,Sampdoria,Benevento,serie_a,14,1
0,0,0,0,14,12,3,4,2,5,16,28,2,3,0,0,0,0,20/08/2017,Sassuolo,Genoa,serie_a,15,7
1,2,1,1,18,10,5,3,5,4,11,10,2,2,0,0,-1,0,20/08/2017,Udinese,Chievo,serie_a,18,4
0,1,0,0,15,14,5,4,6,2,10,13,1,3,0,0,-1,0,26/08/2017,Benevento,Bologna,serie_a,1,2
2,4,2,2,9,17,3,7,1,4,13,8,4,3,0,0,-1,0,26/08/2017,Genoa,Juventus,serie_a,7,9
1,3,1,0,18,14,3,8,12,6,12,8,1,1,0,0,-1,1,26/08/2017,Roma,Inter,serie_a,13,8
1,2,1,1,13,13,5,3,9,6,8,8,1,1,0,0,-1,0,27/08/2017,Chievo,Lazio,serie_a,4,10
0,0,0,0,13,5,4,0,1,3,13,11,1,3,0,0,0,0,27/08/2017,Crotone,Verona,serie_a,5,19
1,2,0,2,25,12,10,5,14,7,20,11,3,4,0,0,-1,-1,27/08/2017,Fiorentina,Sampdoria,serie_a,6,14
2,1,1,0,15,14,5,4,2,6,20,17,2,1,0,0,1,1,27/08/2017,Milan,Cagliari,serie_a,11,3
3,1,0,1,10,14,4,2,9,6,15,9,1,2,0,0,1,-1,27/08/2017,Napoli,Atalanta,serie_a,12,0
3,2,1,0,10,11,4,3,0,7,9,14,3,1,0,0,1,1,27/08/2017,Spal,Udinese,serie_a,16,18
3,0,1,0,14,19,5,2,5,11,13,16,1,1,0,0,1,1,27/08/2017,Torino,Sassuolo,serie_a,17,15
3,0,1,0,15,15,4,2,10,6,10,7,2,1,0,0,1,1,09/09/2017,Juventus,Chievo,serie_a,9,4
2,1,1,1,9,16,3,3,3,7,13,18,0,1,0,0,1,0,10/09/2017,Atalanta,Sassuolo,serie_a,0,15
0,1,0,0,15,16,5,6,2,10,13,22,2,2,0,0,-1,0,10/09/2017,Benevento,Torino,serie_a,1,17
0,3,0,0,5,17,2,7,5,7,10,16,5,1,0,0,-1,0,10/09/2017,Bologna,Napoli,serie_a,2,12
1,0,1,0,13,9,4,2,6,4,16,16,2,1,0,0,1,1,10/09/2017,Cagliari,Crotone,serie_a,3,5
2,0,1,0,19,9,7,1,8,5,14,13,2,2,0,0,1,1,10/09/2017,Inter,Spal,serie_a,8,16
4,1,2,0,12,18,7,6,3,5,14,12,1,1,0,0,1,1,10/09/2017,Lazio,Milan,serie_a,10,11
1,0,1,0,14,12,5,2,1,8,12,17,4,0,1,1,1,1,10/09/2017,Udinese,Genoa,serie_a,18,7
0,5,0,3,14,20,2,10,8,6,12,11,2,1,0,0,-1,-1,10/09/2017,Verona,Fiorentina,serie_a,19,6
0,2,0,0,12,7,4,3,8,6,10,6,1,2,0,0,-1,0,16/09/2017,Crotone,Inter,serie_a,5,8
2,1,0,0,14,6,4,2,7,3,16,8,1,3,0,0,1,0,16/09/2017,Fiorentina,Bologna,serie_a,6,2
3,0,2,0,30,8,10,1,8,1,7,12,1,1,0,1,1,1,16/09/2017,Roma,Verona,serie_a,13,19
1,1,0,0,15,10,4,6,6,5,13,11,2,0,0,0,0,0,17/09/2017,Chievo,Atalanta,serie_a,4,0
2,3,0,1,5,18,4,6,2,1,10,12,1,2,0,0,-1,-1,17/09/2017,Genoa,Lazio,serie_a,7,10
2,1,2,1,21,4,7,2,10,3,13,10,1,2,0,0,1,1,17/09/2017,Milan,Udinese,serie_a,11,18
6,0,4,0,27,6,14,0,8,1,6,7,0,1,0,0,1,1,17/09/2017,Napoli,Benevento,serie_a,12,1
1,3,0,1,13,14,4,6,3,4,15,13,1,2,0,0,-1,-1,17/09/2017,Sassuolo,Juventus,serie_a,15,9
0,2,0,1,12,11,3,3,7,4,12,21,1,3,0,0,-1,-1,17/09/2017,Spal,Cagliari,serie_a,16,3
2,2,2,2,13,11,3,5,3,6,14,15,2,1,0,0,0,0,17/09/2017,Torino,Sampdoria,serie_a,17,14
1,1,1,0,14,11,3,3,4,11,12,18,4,3,0,0,0,1,19/09/2017,Bologna,Inter,serie_a,2,8
5,1,3,0,14,7,11,5,3,3,5,19,0,1,0,0,1,1,20/09/2017,Atalanta,Crotone,serie_a,0,5
0,4,0,2,16,21,5,7,2,9,10,8,2,0,0,0,-1,-1,20/09/2017,Benevento,Roma,serie_a,1,13
0,1,0,0,17,14,3,6,5,2,21,10,3,3,0,0,-1,0,20/09/2017,Cagliari,Sassuolo,serie_a,3,15
1,1,0,0,11,16,2,7,6,2,19,7,1,2,0,0,0,0,20/09/2017,Genoa,Chievo,serie_a,7,4
1,0,0,0,12,9,5,0,3,1,10,23,1,2,0,1,1,0,20/09/2017,Juventus,Fiorentina,serie_a,9,6
1,4,1,0,4,17,2,11,3,2,9,13,2,3,0,0,-1,1,20/09/2017,Lazio,Napoli,serie_a,10,12
2,0,1,0,20,6,7,0,9,8,19,15,1,2,0,0,1,1,20/09/2017,Milan,Spal,serie_a,11,16
