FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
0,1,0,1,5,9,4,4,5,8,12,14,2,3,0,0,-1,-1,24/08/2019,Parma,Juventus,serie_a,12,7
3,4,1,2,10,8,6,6,4,5,21,16,2,4,0,0,-1,-1,24/08/2019,Fiorentina,Napoli,serie_a,4,11
1,0,0,0,11,6,6,0,9,4,14,11,1,3,0,0,1,0,25/08/2019,Udinese,Milan,serie_a,18,10
0,1,0,0,9,8,5,3,8,8,10,11,2,2,0,0,-1,0,25/08/2019,Cagliari,Brescia,serie_a,3,2
3,3,2,2,17,6,9,4,5,1,15,13,3,1,0,0,0,0,25/08/2019,Roma,Genoa,serie_a,13,5
0,3,0,1,12,16,8,10,5,9,13,11,2,2,0,0,-1,-1,25/08/2019,Sampdoria,Lazio,serie_a,14,8
2,3,2,1,8,18,3,14,2,10,13,16,2,1,0,0,-1,1,25/08/2019,Spal,Atalanta,serie_a,16,0
2,1,1,0,7,13,4,9,6,6,21,15,4,3,0,0,1,1,25/08/2019,Torino,Sassuolo,serie_a,17,15
1,1,1,1,5,14,2,5,1,6,12,13,1,3,1,0,0,0,25/08/2019,Verona,Bologna,serie_a,19,1
4,0,2,0,16,10,7,4,7,7,14,8,1,2,0,1,1,1,26/08/2019,Inter,Lecce,serie_a,6,9
1,0,0,0,18,7,9,1,11,2,13,13,3,2,0,0,1,0,30/08/2019,Bologna,Spal,serie_a,1,16
1,0,1,0,11,4,6,2,5,3,14,18,3,4,0,0,1,1,31/08/2019,Milan,Brescia,serie_a,10,2
4,3,2,0,10,12,8,7,2,5,13,13,3,3,0,0,1,1,31/08/2019,Juventus,Napoli,serie_a,7,11
1,1,0,1,21,8,13,5,8,4,15,13,4,3,0,0,0,-1,01/09/2019,Lazio,Roma,serie_a,8,13
2,3,1,1,19,8,12,6,12,5,13,15,2,2,0,0,-1,0,01/09/2019,Atalanta,Torino,serie_a,0,17
1,2,0,1,7,9,3,8,5,5,12,11,5,3,0,0,-1,-1,01/09/2019,Cagliari,Inter,serie_a,3,6
2,1,1,0,18,15,10,7,9,8,17,15,2,0,0,0,1,1,01/09/2019,Genoa,Fiorentina,serie_a,5,4
0,1,0,0,9,11,3,6,2,7,14,14,2,3,0,0,-1,0,01/09/2019,Lecce,Verona,serie_a,9,19
4,1,3,0,11,8,8,5,3,5,9,10,1,3,0,1,1,1,01/09/2019,Sassuolo,Sampdoria,serie_a,15,14
1,3,1,1,17,6,12,3,8,1,11,11,1,3,0,0,-1,0,01/09/2019,Udinese,Parma,serie_a,18,12
0,0,0,0,15,5,8,4,10,0,12,18,3,3,0,0,0,0,14/09/2019,Fiorentina,Juventus,serie_a,4,7
2,0,1,0,19,7,9,2,8,7,7,10,2,2,0,0,1,1,14/09/2019,Napoli,Sampdoria,serie_a,11,14
1,0,1,0,15,6,10,4,8,3,9,10,2,1,0,1,1,1,14/09/2019,Inter,Udinese,serie_a,6,18
1,2,0,0,8,11,3,6,8,7,12,14,3,3,0,0,-1,0,15/09/2019,Genoa,Atalanta,serie_a,5,0
3,4,3,1,9,17,7,6,2,10,14,17,2,6,1,0,-1,1,15/09/2019,Brescia,Bologna,serie_a,2,1
1,3,0,2,14,6,8,4,12,3,12,16,0,5,0,0,-1,-1,15/09/2019,Parma,Cagliari,serie_a,12,3
2,1,0,1,9,11,4,7,8,5,9,11,5,3,0,0,1,-1,15/09/2019,Spal,Lazio,serie_a,16,8
4,2,4,0,14,10,10,5,8,2,13,9,1,2,0,0,1,1,15/09/2019,Roma,Sassuolo,serie_a,13,15
0,1,0,0,6,11,2,6,2,7,13,16,4,3,1,1,-1,0,15/09/2019,Verona,Milan,serie_a,19,10
1,2,0,1,12,12,3,5,7,3,11,19,1,6,0,0,-1,-1,16/09/2019,Torino,Lecce,serie_a,17,9
3,1,0,0,8,7,4,2,4,3,12,8,1,1,0,0,1,0,20/09/2019,Cagliari,Genoa,serie_a,3,5
0,1,0,0,6,5,3,3,3,9,22,16,4,4,0,0,-1,0,21/09/2019,Udinese,Brescia,serie_a,18,2
2,1,1,1,12,8,3,8,2,5,12,20,0,4,0,1,1,0,21/09/2019,Juventus,Verona,serie_a,7,19
0,2,0,0,7,11,3,9,2,6,15,22,2,1,0,0,-1,0,21/09/2019,Milan,Inter,serie_a,10,6
3,0,2,0,17,8,8,3,7,9,19,14,3,2,0,0,1,1,22/09/2019,Sassuolo,Spal,serie_a,15,16
1,2,0,0,5,14,3,7,3,4,13,16,3,6,0,1,-1,0,22/09/2019,Bologna,Roma,serie_a,1,13
1,4,0,2,8,12,3,10,4,6,12,9,3,3,0,0,-1,-1,22/09/2019,Lecce,Napoli,serie_a,9,11
1,0,0,0,10,6,6,1,7,8,19,13,2,1,0,0,1,0,22/09/2019,Sampdoria,Torino,serie_a,14,17
2,2,0,1,15,6,5,3,9,1,14,11,2,5,0,0,0,-1,22/09/2019,Atalanta,Fiorentina,serie_a,0,4
2,0,1,0,22,3,15,1,10,5,7,9,1,3,0,0,1,1,22/09/2019,Lazio,Parma,serie_a,8,12
0,0,0,0,8,5,4,3,6,6,7,18,0,4,0,0,0,0,24/09/2019,Verona,Udinese,serie_a,19,18
1,2,1,1,13,15,3,7,4,3,11,14,1,3,0,0,-1,0,24/09/2019,Brescia,Juventus,serie_a,2,7
0,2,0,0,8,11,4,4,5,1,18,11,2,1,0,0,-1,0,25/09/2019,Roma,Atalanta,serie_a,13,0
2,1,1,0,12,7,8,4,3,1,11,16,4,5,0,1,1,1,25/09/2019,Fiorentina,Sampdoria,serie_a,4,14
0,0,0,0,8,14,4,2,5,4,16,11,5,4,0,0,0,0,25/09/2019,Genoa,Bologna,serie_a,5,1
1,0,1,0,9,6,4,4,4,6,10,8,2,3,0,0,1,1,25/09/2019,Inter,Lazio,serie_a,6,8
0,1,0,0,17,5,8,1,13,1,9,13,1,1,1,0,-1,0,25/09/2019,Napoli,Cagliari,serie_a,11,3
1,0,0,0,8,8,4,5,5,4,19,9,3,1,0,0,1,0,25/09/2019,Parma,Sassuolo,serie_a,12,15
1,3,1,1,14,9,7,5,10,1,13,11,1,2,0,0,-1,0,25/09/2019,Spal,Lecce,serie_a,16,9
2,1,0,1,11,16,5,4,3,5,15,20,4,5,0,1,1,-1,26/09/2019,Torino,Milan,serie_a,17,10
2,0,1,0,17,4,10,1,13,2,13,9,2,2,0,0,1,1,28/09/2019,Juventus,Spal,serie_a,7,16
1,3,0,2,15,11,2,7,7,5,11,13,2,4,0,1,-1,-1,28/09/2019,Sampdoria,Inter,serie_a,14,6
1,4,0,4,9,10,7,8,7,3,14,14,2,2,0,0,-1,-1,28/09/2019,Sassuolo,Atalanta,serie_a,15,0
2,1,2,0,16,7,7,3,7,7,11,8,2,1,0,0,1,1,29/09/2019,Napoli,Brescia,serie_a,11,2
4,0,2,0,13,12,11,6,5,7,8,11,1,2,0,0,1,1,29/09/2019,Lazio,Genoa,serie_a,8,5
0,1,0,0,10,13,6,6,4,11,7,19,2,4,0,0,-1,0,29/09/2019,Lecce,Roma,serie_a,9,13
1,0,1,0,9,10,4,4,4,5,20,16,4,3,0,1,1,1,29/09/2019,Udinese,Bologna,serie_a,18,1
1,1,1,0,10,11,5,5,3,5,18,18,2,2,0,0,0,1,29/09/2019,Cagliari,Verona,serie_a,3,19
1,3,0,1,7,13,3,8,4,6,10,14,2,4,1,0,-1,-1,29/09/2019,Milan,Fiorentina,serie_a,10,4
3,2,2,2,13,6,7,5,7,3,17,15,2,3,0,1,1,0,30/09/2019,Parma,Torino,serie_a,12,17
1,0,1,0,12,5,7,2,5,8,9,13,5,2,1,0,1,1,05/10/2019,Spal,Parma,serie_a,16,12
2,0,1,0,6,9,4,3,9,4,14,14,1,3,0,0,1,1,05/10/2019,Verona,Sampdoria,serie_a,19,14
1,2,1,0,11,9,6,7,7,0,23,14,4,4,2,2,-1,1,05/10/2019,Genoa,Milan,serie_a,5,10
