FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
4,2,2,2,14,9,5,4,5,1,16,13,1,4,0,0,1,0,13/08/2022,Milan,Udinese,serie_a,9,18
0,2,0,1,11,9,1,3,3,2,13,21,4,6,0,0,-1,-1,13/08/2022,Sampdoria,Atalanta,serie_a,14,0
1,2,0,1,10,19,4,9,6,8,21,19,4,2,0,0,-1,-1,13/08/2022,Lecce,Inter,serie_a,8,5
1,2,0,1,15,13,4,6,2,7,6,17,1,2,0,0,-1,-1,13/08/2022,Monza,Torino,serie_a,10,17
3,2,2,1,27,13,11,4,11,4,10,19,0,3,0,1,1,1,14/08/2022,Fiorentina,Cremonese,serie_a,4,2
2,1,0,1,9,11,6,3,3,2,11,18,2,6,1,1,1,-1,14/08/2022,Lazio,Bologna,serie_a,7,1
0,1,0,1,13,20,2,5,4,2,18,9,3,2,0,0,-1,-1,14/08/2022,Salernitana,Roma,serie_a,13,12
1,0,1,0,9,18,2,5,6,4,15,8,2,1,0,0,1,1,14/08/2022,Spezia,Empoli,serie_a,16,3
2,5,1,2,6,25,3,8,4,8,15,6,2,2,0,0,-1,-1,15/08/2022,Verona,Napoli,serie_a,19,11
3,0,2,0,14,19,4,7,3,2,7,5,1,3,0,0,1,1,15/08/2022,Juventus,Sassuolo,serie_a,6,15
0,0,0,0,10,7,1,2,6,4,11,12,0,5,0,0,0,0,20/08/2022,Torino,Lazio,serie_a,17,7
0,0,0,0,15,17,2,6,6,6,9,12,2,4,1,0,0,0,20/08/2022,Udinese,Salernitana,serie_a,18,13
3,0,1,0,19,2,8,0,10,4,11,7,0,0,0,0,1,1,20/08/2022,Inter,Spezia,serie_a,5,16
1,0,1,0,12,7,3,1,5,4,14,12,5,1,0,0,1,1,20/08/2022,Sassuolo,Lecce,serie_a,15,8
0,0,0,0,4,19,2,2,1,9,13,11,1,3,1,0,0,0,21/08/2022,Empoli,Fiorentina,serie_a,3,4
4,0,2,0,22,4,5,1,10,4,11,13,2,1,0,0,1,1,21/08/2022,Napoli,Monza,serie_a,11,10
1,1,1,0,11,18,2,7,4,6,15,6,4,3,0,0,0,1,21/08/2022,Atalanta,Milan,serie_a,0,9
1,1,1,1,17,19,5,3,9,8,10,14,3,3,1,0,0,0,21/08/2022,Bologna,Verona,serie_a,1,19
1,0,0,0,27,14,12,3,5,6,7,14,0,3,0,0,1,0,22/08/2022,Roma,Cremonese,serie_a,12,2
0,0,0,0,10,10,1,4,3,4,8,14,3,2,0,0,0,0,22/08/2022,Sampdoria,Juventus,serie_a,14,6
1,2,1,1,10,15,5,4,3,5,16,10,3,2,0,0,-1,0,26/08/2022,Monza,Udinese,serie_a,10,18
3,1,1,0,11,19,7,7,2,4,5,12,2,1,0,0,1,1,26/08/2022,Lazio,Inter,serie_a,7,5
1,2,0,1,16,14,6,5,3,3,9,21,0,3,0,0,-1,-1,27/08/2022,Cremonese,Torino,serie_a,2,17
1,1,1,0,14,8,3,4,4,5,16,7,2,2,0,0,0,1,27/08/2022,Juventus,Roma,serie_a,6,12
2,0,1,0,19,8,7,0,5,1,13,9,2,1,0,0,1,1,27/08/2022,Milan,Bologna,serie_a,9,1
2,2,2,1,7,21,2,8,2,6,17,10,2,1,1,0,0,1,27/08/2022,Spezia,Sassuolo,serie_a,16,15
4,0,2,0,9,17,6,6,6,3,19,14,2,2,0,0,1,1,28/08/2022,Salernitana,Sampdoria,serie_a,13,14
0,1,0,0,14,15,2,7,7,6,15,7,3,3,0,0,-1,0,28/08/2022,Verona,Atalanta,serie_a,19,0
0,0,0,0,10,13,5,2,2,3,12,14,2,3,0,0,0,0,28/08/2022,Fiorentina,Napoli,serie_a,4,11
1,1,1,1,15,9,5,3,3,5,10,5,1,2,0,0,0,0,28/08/2022,Lecce,Empoli,serie_a,8,3
0,0,0,0,8,10,3,2,3,8,14,13,5,2,0,0,0,0,30/08/2022,Sassuolo,Milan,serie_a,15,9
3,1,2,0,18,11,7,4,6,6,6,14,0,3,0,0,1,1,30/08/2022,Inter,Cremonese,serie_a,5,2
3,0,2,0,14,13,7,1,5,4,10,7,0,3,0,0,1,1,30/08/2022,Roma,Monza,serie_a,12,10
1,1,1,0,16,9,4,3,7,10,5,21,0,4,0,0,0,1,31/08/2022,Empoli,Verona,serie_a,3,19
