FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
1,1,0,0,13,11,4,3,7,1,4,5,0,2,0,0,0,0,24/09/2023,Torino,Roma,serie_a,17,14
1,0,0,0,14,2,5,0,5,1,14,15,2,5,0,1,1,0,26/09/2023,Juventus,Lecce,serie_a,8,10
1,3,1,2,16,17,6,6,3,5,13,6,3,1,0,0,-1,-1,27/09/2023,Cagliari,Milan,serie_a,2,11
1,0,1,0,13,14,6,2,10,2,18,13,2,1,0,0,1,1,27/09/2023,Empoli,Salernitana,serie_a,3,15
0,1,0,1,11,8,2,2,4,1,10,25,2,3,0,0,-1,-1,27/09/2023,Verona,Atalanta,serie_a,19,0
1,2,1,0,13,13,3,6,8,6,10,8,0,1,0,0,-1,1,27/09/2023,Inter,Sassuolo,serie_a,7,16
2,0,0,0,6,7,3,2,4,2,12,13,1,4,0,0,1,0,27/09/2023,Lazio,Torino,serie_a,9,17
4,1,2,0,23,13,10,3,8,4,11,10,1,1,0,0,1,1,27/09/2023,Napoli,Udinese,serie_a,13,18
1,1,0,1,11,19,3,6,8,10,6,11,3,3,0,0,0,-1,28/09/2023,Frosinone,Fiorentina,serie_a,5,4
0,0,0,0,12,7,3,5,7,5,9,13,5,3,0,1,0,0,28/09/2023,Monza,Bologna,serie_a,12,1
4,1,2,1,8,13,4,3,1,7,7,12,4,3,0,0,1,1,28/09/2023,Genoa,Roma,serie_a,6,14
0,4,0,1,9,15,4,6,3,7,11,11,3,2,0,0,-1,-1,30/09/2023,Lecce,Napoli,serie_a,10,13
2,0,0,0,14,13,7,4,7,1,15,5,3,2,0,0,1,0,30/09/2023,Milan,Lazio,serie_a,11,9
0,4,0,0,12,16,3,6,3,3,12,10,2,1,0,0,-1,0,30/09/2023,Salernitana,Inter,serie_a,15,7
3,0,1,0,21,12,9,4,2,6,11,16,2,4,0,0,1,1,01/10/2023,Bologna,Empoli,serie_a,1,3
2,2,1,2,11,8,2,4,5,0,12,12,2,2,1,0,0,-1,01/10/2023,Udinese,Genoa,serie_a,18,6
0,0,0,0,15,5,2,3,5,2,13,7,1,2,0,0,0,0,01/10/2023,Atalanta,Juventus,serie_a,0,8
2,0,1,0,11,8,5,0,7,3,12,11,1,2,0,0,1,1,01/10/2023,Roma,Frosinone,serie_a,14,5
0,1,0,0,19,13,7,4,7,4,8,10,0,0,0,0,-1,0,02/10/2023,Sassuolo,Monza,serie_a,16,12
0,0,0,0,8,5,2,2,10,1,6,11,1,1,0,0,0,0,02/10/2023,Torino,Verona,serie_a,17,19
3,0,2,0,14,6,2,4,4,2,10,10,1,1,0,0,1,1,02/10/2023,Fiorentina,Cagliari,serie_a,4,2
0,0,0,0,18,11,3,1,5,7,11,15,1,2,0,0,0,0,06/10/2023,Empoli,Udinese,serie_a,3,18
1,1,0,1,13,14,4,1,5,3,9,15,2,3,0,0,0,-1,06/10/2023,Lecce,Sassuolo,serie_a,10,16
2,2,2,1,14,8,5,3,7,7,11,9,2,3,0,0,0,1,07/10/2023,Inter,Bologna,serie_a,7,1
2,0,0,0,17,10,6,1,7,3,10,8,1,1,0,0,1,0,07/10/2023,Juventus,Torino,serie_a,8,17
0,1,0,0,7,12,1,3,3,2,10,13,3,5,1,1,-1,0,07/10/2023,Genoa,Milan,serie_a,6,11
3,0,2,0,16,8,7,5,7,7,8,16,1,2,0,0,1,1,08/10/2023,Monza,Salernitana,serie_a,12,15
2,1,1,0,11,16,2,4,2,4,9,12,1,4,0,0,1,1,08/10/2023,Frosinone,Verona,serie_a,5,19
3,2,2,1,12,12,4,4,4,6,7,10,1,1,0,0,1,1,08/10/2023,Lazio,Atalanta,serie_a,9,0
1,4,0,2,16,11,2,5,4,3,15,13,2,3,0,0,-1,-1,08/10/2023,Cagliari,Roma,serie_a,2,14
1,3,1,1,16,12,4,3,6,4,4,14,2,4,0,0,-1,0,08/10/2023,Napoli,Fiorentina,serie_a,13,4
1,3,0,2,15,22,9,10,5,8,12,9,3,2,0,0,-1,-1,21/10/2023,Verona,Napoli,serie_a,19,13
0,3,0,0,7,14,3,4,2,4,13,8,1,2,0,0,-1,0,21/10/2023,Torino,Inter,serie_a,17,7
0,2,0,2,9,18,2,6,5,7,6,10,1,5,0,0,-1,-1,21/10/2023,Sassuolo,Lazio,serie_a,16,9
1,0,0,0,21,11,4,4,8,5,11,11,2,4,0,1,1,0,22/10/2023,Roma,Monza,serie_a,14,12
2,1,2,0,12,12,6,5,4,5,10,14,2,2,0,1,1,1,22/10/2023,Bologna,Frosinone,serie_a,1,5
2,2,0,0,13,13,2,6,8,5,11,12,3,4,0,0,0,0,22/10/2023,Salernitana,Cagliari,serie_a,15,2
2,0,0,0,13,15,8,4,8,4,17,9,4,2,0,0,1,0,22/10/2023,Atalanta,Genoa,serie_a,0,6
0,1,0,0,7,14,1,4,6,3,12,16,1,4,1,0,-1,0,22/10/2023,Milan,Juventus,serie_a,11,8
1,1,0,0,12,12,6,1,2,7,11,15,3,5,0,0,0,0,23/10/2023,Udinese,Lecce,serie_a,18,10
0,2,0,1,19,7,7,3,13,3,13,17,1,3,0,0,-1,-1,23/10/2023,Fiorentina,Empoli,serie_a,4,3
1,0,1,0,8,7,4,2,7,0,11,19,3,4,0,0,1,1,27/10/2023,Genoa,Salernitana,serie_a,6,15
1,1,1,1,17,9,6,5,6,2,11,10,1,4,0,0,0,0,28/10/2023,Sassuolo,Bologna,serie_a,16,1
0,1,0,1,11,10,6,2,3,0,17,19,3,5,0,0,-1,-1,28/10/2023,Lecce,Torino,serie_a,10,17
1,0,0,0,30,7,6,1,5,1,13,8,3,2,0,0,1,0,28/10/2023,Juventus,Verona,serie_a,8,19
4,3,0,2,24,10,6,6,5,7,8,7,1,4,0,0,1,-1,29/10/2023,Cagliari,Frosinone,serie_a,2,5
1,1,1,0,10,10,4,3,10,3,15,11,2,1,0,0,0,1,29/10/2023,Monza,Udinese,serie_a,12,18
1,0,0,0,19,3,3,1,8,0,14,9,3,4,0,0,1,0,29/10/2023,Inter,Roma,serie_a,7,14
2,2,0,2,17,20,4,6,6,4,14,10,4,3,1,0,0,-1,29/10/2023,Napoli,Milan,serie_a,13,11
0,3,0,2,9,18,2,6,3,6,10,13,4,0,0,0,-1,-1,30/10/2023,Empoli,Atalanta,serie_a,3,0
1,0,0,0,11,9,4,5,0,4,12,17,3,3,0,0,1,0,30/10/2023,Lazio,Fiorentina,serie_a,9,4
1,0,0,0,6,11,2,1,2,6,12,8,2,5,0,0,1,0,03/11/2023,Bologna,Lazio,serie_a,1,9
0,2,0,1,10,21,3,8,8,9,15,10,1,1,0,0,-1,-1,04/11/2023,Salernitana,Napoli,serie_a,15,13
1,2,0,1,14,10,4,4,6,1,13,9,4,1,1,0,-1,-1,04/11/2023,Atalanta,Inter,serie_a,0,7
0,1,0,0,14,12,5,2,11,5,13,14,1,2,0,0,-1,0,04/11/2023,Milan,Udinese,serie_a,11,18
