FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
1,0,0,0,17,6,8,3,4,1,17,20,3,1,0,0,1,0,19/09/2020,Fiorentina,Torino,serie_a,5,17
0,0,0,0,9,15,7,7,0,6,19,20,2,0,0,0,0,0,19/09/2020,Verona,Roma,serie_a,19,13
0,2,0,0,4,12,2,7,4,2,16,12,4,1,0,0,-1,0,20/09/2020,Parma,Napoli,serie_a,12,11
4,1,3,1,10,11,8,5,6,4,13,14,4,2,0,0,1,1,20/09/2020,Genoa,Crotone,serie_a,6,4
1,1,0,0,21,8,10,4,7,3,9,18,1,3,0,0,0,0,20/09/2020,Sassuolo,Cagliari,serie_a,15,3
3,0,1,0,14,10,9,2,6,4,15,9,1,1,0,0,1,1,20/09/2020,Juventus,Sampdoria,serie_a,8,14
2,0,1,0,14,6,6,5,7,4,13,17,3,5,0,1,1,1,21/09/2020,Milan,Bologna,serie_a,10,2
2,4,2,3,5,12,5,7,2,6,11,12,1,2,0,0,-1,-1,26/09/2020,Torino,Atalanta,serie_a,17,0
0,2,0,1,9,9,3,7,3,6,8,13,1,1,0,0,-1,-1,26/09/2020,Cagliari,Lazio,serie_a,3,9
2,3,2,1,5,11,4,6,6,4,17,12,3,1,0,0,-1,1,26/09/2020,Sampdoria,Benevento,serie_a,14,1
4,3,1,1,12,8,6,4,5,1,15,10,1,1,0,0,1,0,26/09/2020,Inter,Fiorentina,serie_a,7,5
1,4,1,1,11,10,6,8,3,5,13,8,2,1,0,0,-1,0,27/09/2020,Spezia,Sassuolo,serie_a,16,15
6,0,1,0,18,3,11,1,4,2,6,13,1,2,0,0,1,1,27/09/2020,Napoli,Genoa,serie_a,11,6
1,0,0,0,8,14,2,6,1,9,13,13,1,0,0,0,1,0,27/09/2020,Verona,Udinese,serie_a,19,18
0,2,0,1,5,11,1,7,2,5,14,15,1,3,0,0,-1,-1,27/09/2020,Crotone,Milan,serie_a,4,10
2,2,2,1,7,6,6,3,5,7,19,9,2,3,0,1,0,1,27/09/2020,Roma,Juventus,serie_a,13,8
4,1,2,0,11,8,8,4,8,9,12,9,1,2,0,1,1,1,28/09/2020,Bologna,Parma,serie_a,2,12
2,5,1,4,11,18,7,12,5,1,10,15,1,0,0,0,-1,-1,30/09/2020,Benevento,Inter,serie_a,1,7
0,2,0,1,10,4,5,3,2,2,13,17,0,5,0,1,-1,-1,30/09/2020,Udinese,Spezia,serie_a,18,16
1,4,0,3,11,8,8,6,7,3,16,11,7,2,0,0,-1,-1,30/09/2020,Lazio,Atalanta,serie_a,9,0
1,2,0,1,16,14,6,10,8,4,11,16,0,3,0,0,-1,-1,02/10/2020,Fiorentina,Sampdoria,serie_a,5,14
4,1,1,0,7,10,4,6,3,4,15,15,2,3,0,0,1,1,03/10/2020,Sassuolo,Crotone,serie_a,15,4
0,1,0,0,9,8,5,3,4,1,15,10,1,0,0,0,-1,0,03/10/2020,Udinese,Roma,serie_a,18,13
5,2,4,1,19,7,14,3,3,9,11,9,0,0,0,0,1,1,04/10/2020,Atalanta,Cagliari,serie_a,0,3
1,0,0,0,6,13,3,7,4,10,13,15,2,1,0,0,1,0,04/10/2020,Benevento,Bologna,serie_a,1,2
1,1,0,1,11,10,5,4,7,8,14,13,3,4,1,1,0,-1,04/10/2020,Lazio,Inter,serie_a,9,7
1,0,1,0,7,8,5,5,7,6,11,19,1,1,0,0,1,1,04/10/2020,Parma,Verona,serie_a,12,19
3,0,0,0,10,3,5,2,4,6,14,19,1,2,0,0,1,0,04/10/2020,Milan,Spezia,serie_a,10,16
4,1,4,0,18,11,14,3,6,2,12,23,1,3,0,0,1,1,17/10/2020,Napoli,Atalanta,serie_a,11,0
1,2,1,2,12,8,6,4,3,5,18,11,3,4,0,0,-1,-1,17/10/2020,Inter,Milan,serie_a,7,10
3,0,2,0,11,8,8,1,3,3,12,10,2,2,0,0,1,1,17/10/2020,Sampdoria,Lazio,serie_a,14,9
1,1,1,1,9,8,3,3,3,4,17,14,3,3,0,1,0,0,17/10/2020,Crotone,Juventus,serie_a,4,8
3,4,2,1,11,20,7,12,7,11,20,12,2,2,0,0,-1,1,18/10/2020,Bologna,Sassuolo,serie_a,2,15
2,2,1,2,6,7,2,6,5,5,15,18,2,2,0,0,0,-1,18/10/2020,Spezia,Fiorentina,serie_a,16,5
2,3,1,2,10,9,6,7,2,4,14,16,2,3,1,0,-1,-1,18/10/2020,Torino,Cagliari,serie_a,17,3
3,2,1,1,9,7,4,3,11,2,12,11,3,2,0,0,1,0,18/10/2020,Udinese,Parma,serie_a,18,12
5,2,2,1,16,8,10,4,6,4,17,7,3,2,0,0,1,1,18/10/2020,Roma,Benevento,serie_a,13,1
0,0,0,0,18,5,12,2,14,2,14,15,1,4,0,0,0,0,19/10/2020,Verona,Genoa,serie_a,19,6
3,3,0,1,13,14,9,12,6,8,10,12,2,2,0,0,0,-1,23/10/2020,Sassuolo,Torino,serie_a,15,17
1,3,0,1,10,5,5,4,3,1,11,18,3,4,0,0,-1,-1,24/10/2020,Atalanta,Sampdoria,serie_a,0,14
0,2,0,0,1,10,0,6,1,9,11,17,1,1,0,0,-1,0,24/10/2020,Genoa,Inter,serie_a,6,7
2,1,0,0,6,16,4,6,8,9,14,15,3,3,0,0,1,0,24/10/2020,Lazio,Bologna,serie_a,9,2
4,2,3,2,15,11,8,6,5,1,13,13,2,4,0,1,1,1,25/10/2020,Cagliari,Crotone,serie_a,3,4
1,2,1,0,6,14,3,8,3,15,18,13,3,1,0,0,-1,1,25/10/2020,Benevento,Napoli,serie_a,1,11
2,2,1,2,15,13,7,9,12,3,12,22,3,2,0,0,0,-1,25/10/2020,Parma,Spezia,serie_a,12,16
3,2,2,1,4,11,3,6,2,7,16,14,1,3,0,0,1,1,25/10/2020,Fiorentina,Udinese,serie_a,5,18
1,1,0,0,16,5,8,2,6,3,14,19,1,4,0,0,0,0,25/10/2020,Juventus,Verona,serie_a,8,19
3,3,1,1,13,11,11,9,7,7,15,15,3,2,0,0,0,0,26/10/2020,Milan,Roma,serie_a,10,13
1,2,1,2,4,16,2,7,1,3,11,22,1,3,0,0,-1,-1,31/10/2020,Crotone,Atalanta,serie_a,4,0
2,2,0,0,18,4,9,3,15,2,13,7,1,1,0,0,0,0,31/10/2020,Inter,Parma,serie_a,7,12
3,2,1,1,16,6,11,4,7,3,12,19,3,3,0,0,1,0,31/10/2020,Bologna,Cagliari,serie_a,2,3
1,2,0,1,7,8,3,4,2,4,14,12,2,2,0,0,-1,-1,01/11/2020,Udinese,Milan,serie_a,18,10
1,4,1,1,11,8,3,5,4,3,14,7,3,1,0,0,-1,0,01/11/2020,Spezia,Juventus,serie_a,16,8
3,4,2,1,8,9,6,5,7,1,11,12,2,4,0,0,-1,1,01/11/2020,Torino,Lazio,serie_a,17,9
0,2,0,0,18,8,7,5,12,3,7,9,2,2,0,0,-1,0,01/11/2020,Napoli,Sassuolo,serie_a,11,15
2,0,1,0,11,3,7,1,7,4,17,16,3,2,0,1,1,1,01/11/2020,Roma,Fiorentina,serie_a,13,5
1,1,1,1,9,7,3,4,7,4,19,11,5,1,0,0,0,0,01/11/2020,Sampdoria,Genoa,serie_a,14,6
3,1,1,0,10,10,7,5,4,5,18,14,5,4,0,1,1,1,02/11/2020,Verona,Benevento,serie_a,19,1
1,2,0,2,9,6,4,1,5,2,10,18,2,4,0,0,-1,-1,04/11/2020,Genoa,Torino,serie_a,6,17
0,0,0,0,3,0,1,0,3,6,17,13,2,2,0,0,0,0,06/11/2020,Sassuolo,Udinese,serie_a,15,18
2,0,0,0,13,5,7,1,2,6,12,16,0,2,0,1,1,0,07/11/2020,Cagliari,Sampdoria,serie_a,3,14
0,3,0,1,4,13,3,7,2,4,13,18,3,3,0,0,-1,-1,07/11/2020,Benevento,Spezia,serie_a,1,16
0,0,0,0,5,6,0,4,2,3,17,17,1,2,0,0,0,0,07/11/2020,Parma,Fiorentina,serie_a,12,5
1,1,0,1,7,9,3,6,4,2,12,12,2,2,0,0,0,-1,08/11/2020,Lazio,Juventus,serie_a,9,8
1,1,0,0,9,10,4,3,2,5,15,13,1,3,0,0,0,0,08/11/2020,Atalanta,Inter,serie_a,0,7
1,3,0,1,7,18,5,11,1,8,10,11,1,0,0,0,-1,-1,08/11/2020,Genoa,Roma,serie_a,6,13
0,0,0,0,5,7,1,2,6,3,15,16,3,4,0,1,0,0,08/11/2020,Torino,Crotone,serie_a,17,4
0,1,0,1,6,8,4,4,4,7,12,11,3,0,0,0,-1,-1,08/11/2020,Bologna,Napoli,serie_a,2,11
2,2,1,2,21,5,9,3,14,1,16,20,1,3,0,0,0,-1,08/11/2020,Milan,Verona,serie_a,10,19
0,2,0,1,12,13,6,9,2,6,11,11,3,4,0,0,-1,-1,21/11/2020,Crotone,Lazio,serie_a,4,9
0,0,0,0,6,9,3,5,1,2,19,18,3,3,0,0,0,0,21/11/2020,Spezia,Atalanta,serie_a,16,0
2,0,2,0,13,2,8,0,9,1,11,7,3,2,0,0,1,1,21/11/2020,Juventus,Cagliari,serie_a,8,3
0,1,0,0,5,10,3,4,4,4,14,16,2,3,0,0,-1,0,22/11/2020,Fiorentina,Benevento,serie_a,5,1
4,2,0,1,9,11,7,6,1,1,20,14,3,2,0,0,1,-1,22/11/2020,Inter,Torino,serie_a,7,17
3,0,3,0,12,1,7,1,4,1,5,4,0,0,0,0,1,1,22/11/2020,Roma,Parma,serie_a,13,12
1,2,1,1,8,7,4,5,9,10,10,9,2,2,0,0,-1,0,22/11/2020,Sampdoria,Bologna,serie_a,14,2
0,2,0,1,13,10,7,5,6,1,13,20,1,3,0,0,-1,-1,22/11/2020,Verona,Sassuolo,serie_a,19,15
1,0,1,0,7,5,4,1,4,8,17,15,2,3,0,1,1,1,22/11/2020,Udinese,Genoa,serie_a,18,6
1,3,0,1,16,11,9,7,8,5,8,16,3,4,1,0,-1,-1,22/11/2020,Napoli,Milan,serie_a,11,10
0,3,0,2,7,9,3,4,6,2,13,16,3,1,0,0,-1,-1,28/11/2020,Sassuolo,Inter,serie_a,15,7
1,1,1,1,8,11,5,5,5,8,13,13,6,1,0,1,0,0,28/11/2020,Benevento,Juventus,serie_a,1,8
0,2,0,0,15,7,6,3,4,1,12,15,2,3,0,0,-1,0,28/11/2020,Atalanta,Verona,serie_a,0,19
1,3,0,2,8,6,6,4,4,4,16,10,3,4,0,0,-1,-1,29/11/2020,Lazio,Udinese,serie_a,9,18
1,0,1,0,11,5,7,1,10,3,15,18,2,4,0,0,1,1,29/11/2020,Bologna,Crotone,serie_a,2,4
2,0,2,0,11,5,5,3,3,6,15,15,2,4,0,0,1,1,29/11/2020,Milan,Fiorentina,serie_a,10,5
2,2,0,1,9,12,4,5,4,5,16,18,0,4,0,0,0,-1,29/11/2020,Cagliari,Spezia,serie_a,3,16
4,0,1,0,13,4,9,1,11,4,3,10,1,2,0,0,1,1,29/11/2020,Napoli,Roma,serie_a,11,13
2,2,1,0,11,7,8,2,6,2,17,17,1,2,0,0,0,1,30/11/2020,Torino,Sampdoria,serie_a,17,14
1,2,0,1,12,7,5,3,2,2,12,16,2,2,0,0,-1,-1,30/11/2020,Genoa,Parma,serie_a,6,12
1,2,0,2,11,3,6,2,7,0,15,12,3,1,0,0,-1,-1,05/12/2020,Spezia,Lazio,serie_a,16,9
2,1,0,1,9,5,5,2,13,1,17,10,3,3,1,0,1,-1,05/12/2020,Juventus,Torino,serie_a,8,17
3,1,2,0,11,9,9,7,7,3,12,13,1,2,0,0,1,1,05/12/2020,Inter,Bologna,serie_a,7,2
1,1,1,0,12,9,6,5,7,5,11,14,2,0,0,0,0,1,06/12/2020,Verona,Cagliari,serie_a,19,3
0,0,0,0,6,6,0,4,6,3,13,12,4,4,0,0,0,0,06/12/2020,Parma,Benevento,serie_a,12,1
0,0,0,0,14,7,5,2,12,5,10,12,5,3,1,0,0,0,06/12/2020,Roma,Sassuolo,serie_a,13,15
0,4,0,1,4,11,1,6,4,1,14,9,3,3,1,0,-1,-1,06/12/2020,Crotone,Napoli,serie_a,4,11
1,2,0,1,6,9,3,6,9,6,11,16,2,1,0,0,-1,-1,06/12/2020,Sampdoria,Milan,serie_a,14,10
1,1,0,0,16,3,8,3,5,1,7,20,2,2,0,0,0,0,07/12/2020,Fiorentina,Genoa,serie_a,5,6
1,0,1,0,4,17,2,7,1,10,12,14,2,4,1,0,1,1,11/12/2020,Sassuolo,Benevento,serie_a,15,1
