FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
2,4,0,3,12,13,5,7,4,5,13,21,3,3,0,0,-1,-1,18/09/2023,Granada,Girona,la_liga,13,12
0,2,0,1,15,11,5,3,3,4,13,9,2,2,0,0,-1,-1,22/09/2023,Alaves,Ath Bilbao,la_liga,0,2
5,3,4,1,23,15,10,5,6,5,10,12,1,5,0,0,1,1,23/09/2023,Girona,Mallorca,la_liga,12,20
0,0,0,0,16,15,2,3,7,4,11,7,2,3,0,0,0,0,23/09/2023,Osasuna,Sevilla,la_liga,21,23
3,2,0,1,15,13,6,7,2,3,10,11,2,1,0,0,1,-1,23/09/2023,Barcelona,Celta,la_liga,4,7
2,2,0,1,17,7,10,5,8,3,12,10,4,2,0,0,0,-1,23/09/2023,Almeria,Valencia,la_liga,1,26
4,3,1,2,10,10,6,7,2,1,13,24,3,2,0,0,1,-1,24/09/2023,Sociedad,Getafe,la_liga,24,11
1,1,1,1,11,13,6,6,2,8,20,18,2,3,0,1,0,0,24/09/2023,Vallecano,Villarreal,la_liga,28,29
1,1,0,1,21,5,7,1,11,8,10,14,2,3,0,0,0,-1,24/09/2023,Betis,Cadiz,la_liga,5,6
1,0,0,0,10,2,3,1,6,7,13,19,6,4,1,0,1,0,24/09/2023,Las Palmas,Granada,la_liga,16,13
3,1,2,1,10,20,4,5,6,11,13,10,1,3,0,0,1,1,24/09/2023,Ath Madrid,Real Madrid,la_liga,3,22
5,1,3,0,18,10,9,1,9,4,15,16,3,2,0,0,1,1,26/09/2023,Sevilla,Almeria,la_liga,23,1
2,2,2,1,10,10,5,4,7,2,19,7,4,1,1,0,0,1,26/09/2023,Mallorca,Barcelona,la_liga,20,4
2,2,1,0,9,13,4,5,5,4,9,19,5,6,1,0,0,1,27/09/2023,Ath Bilbao,Getafe,la_liga,2,11
2,0,1,0,21,16,9,2,7,2,7,9,0,1,0,0,1,1,27/09/2023,Real Madrid,Las Palmas,la_liga,22,16
1,2,0,0,14,17,3,5,5,6,9,11,3,2,0,0,-1,0,27/09/2023,Villarreal,Girona,la_liga,29,12
0,0,0,0,9,9,2,4,1,2,16,13,5,6,0,1,0,0,27/09/2023,Cadiz,Vallecano,la_liga,6,28
0,1,0,1,9,2,2,1,0,2,14,17,4,7,1,0,-1,-1,27/09/2023,Valencia,Sociedad,la_liga,26,24
1,1,1,0,8,21,0,11,2,8,9,11,5,3,1,0,0,1,28/09/2023,Celta,Alaves,la_liga,7,0
1,1,0,0,19,13,7,3,5,7,14,10,2,1,0,0,0,0,28/09/2023,Granada,Betis,la_liga,13,5
0,2,0,1,13,4,2,3,7,2,14,4,3,3,1,1,-1,-1,28/09/2023,Osasuna,Ath Madrid,la_liga,21,3
1,0,0,0,18,12,5,3,13,3,11,15,2,3,0,0,1,0,29/09/2023,Barcelona,Sevilla,la_liga,4,23
0,0,0,0,22,3,9,0,6,4,19,11,2,4,0,1,0,0,30/09/2023,Getafe,Villarreal,la_liga,11,29
2,2,1,1,19,9,5,4,5,0,12,20,2,5,0,0,0,0,30/09/2023,Vallecano,Mallorca,la_liga,28,20
0,3,0,2,13,14,3,7,1,4,13,14,2,2,0,1,-1,-1,30/09/2023,Girona,Real Madrid,la_liga,12,22
3,0,1,0,8,18,5,3,5,7,20,9,2,2,0,0,1,1,30/09/2023,Sociedad,Ath Bilbao,la_liga,24,2
3,3,3,0,17,19,5,4,1,5,18,14,2,1,0,0,0,1,01/10/2023,Almeria,Granada,la_liga,1,13
0,2,0,1,17,10,3,3,4,2,13,13,2,3,1,0,-1,-1,01/10/2023,Alaves,Osasuna,la_liga,0,21
3,2,1,2,18,8,9,4,5,3,5,10,1,3,0,0,1,-1,01/10/2023,Ath Madrid,Cadiz,la_liga,3,6
3,0,1,0,15,9,7,2,5,3,11,10,2,2,0,0,1,1,01/10/2023,Betis,Valencia,la_liga,5,26
2,1,0,0,16,11,5,3,4,5,13,14,2,1,0,0,1,0,02/10/2023,Las Palmas,Celta,la_liga,16,7
3,0,1,0,23,4,9,1,6,2,11,7,2,0,0,0,1,1,06/10/2023,Ath Bilbao,Almeria,la_liga,2,1
0,1,0,0,8,20,2,5,5,5,12,13,1,3,1,0,-1,0,07/10/2023,Cadiz,Girona,la_liga,6,12
4,0,1,0,19,7,9,1,5,4,9,6,2,2,0,0,1,1,07/10/2023,Real Madrid,Osasuna,la_liga,22,21
1,1,1,1,9,11,5,3,3,6,17,11,2,1,0,0,0,0,07/10/2023,Mallorca,Valencia,la_liga,20,26
2,2,0,2,22,7,6,4,12,2,16,19,5,2,0,0,0,-1,07/10/2023,Sevilla,Vallecano,la_liga,23,28
1,2,0,1,9,8,4,5,7,2,17,7,4,4,0,0,-1,-1,08/10/2023,Villarreal,Las Palmas,la_liga,29,16
2,1,1,0,14,13,5,4,1,4,9,12,3,3,0,0,1,1,08/10/2023,Ath Madrid,Sociedad,la_liga,3,24
1,1,1,1,15,6,5,2,5,3,13,9,3,3,0,1,0,0,08/10/2023,Alaves,Betis,la_liga,0,5
2,2,2,2,26,3,11,2,13,1,14,20,1,8,0,1,0,0,08/10/2023,Celta,Getafe,la_liga,7,11
2,2,2,1,7,22,2,10,1,11,12,7,4,1,0,0,0,1,08/10/2023,Granada,Barcelona,la_liga,13,4
2,0,1,0,12,13,6,3,1,7,19,13,3,4,0,1,1,1,20/10/2023,Osasuna,Granada,la_liga,21,13
1,0,0,0,14,18,6,7,2,5,14,16,3,3,0,0,1,0,21/10/2023,Sociedad,Mallorca,la_liga,24,20
1,1,1,1,14,13,4,3,4,8,17,11,5,2,0,0,0,0,21/10/2023,Getafe,Betis,la_liga,11,5
1,1,0,0,17,14,7,5,4,6,13,6,5,2,0,0,0,0,21/10/2023,Sevilla,Real Madrid,la_liga,23,22
0,3,0,1,16,12,3,7,7,5,10,10,3,2,1,0,-1,-1,21/10/2023,Celta,Ath Madrid,la_liga,7,3
