FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
0,2,0,2,19,10,5,4,8,3,16,25,1,3,0,0,-1,-1,11/08/2023,Almeria,Vallecano,la_liga,1,18
1,2,0,0,9,10,3,3,8,1,15,17,3,2,1,0,-1,0,11/08/2023,Sevilla,Valencia,la_liga,15,17
1,1,1,0,15,6,2,1,4,1,22,9,2,5,0,0,0,1,12/08/2023,Sociedad,Girona,la_liga,16,9
1,1,1,0,5,12,2,2,3,6,11,21,3,2,0,0,0,1,12/08/2023,Las Palmas,Mallorca,la_liga,11,12
0,2,0,2,7,14,1,8,7,5,18,6,3,1,0,0,-1,-1,12/08/2023,Ath Bilbao,Real Madrid,la_liga,2,14
0,2,0,1,11,11,1,5,7,2,11,15,1,1,0,0,-1,-1,13/08/2023,Celta,Osasuna,la_liga,7,13
1,2,0,1,18,12,5,5,9,4,13,17,1,3,0,0,-1,-1,13/08/2023,Villarreal,Betis,la_liga,19,5
0,0,0,0,5,14,2,4,3,4,20,11,8,2,1,1,0,0,13/08/2023,Getafe,Barcelona,la_liga,8,4
1,0,1,0,12,10,3,2,2,4,19,15,3,2,1,0,1,1,14/08/2023,Cadiz,Alaves,la_liga,6,0
3,1,1,0,14,7,6,4,3,3,15,9,3,1,0,0,1,1,14/08/2023,Ath Madrid,Granada,la_liga,3,10
0,1,0,0,8,15,1,3,6,5,12,11,2,4,0,0,-1,0,18/08/2023,Mallorca,Villarreal,la_liga,12,19
1,0,0,0,9,7,4,1,6,4,12,6,0,0,0,0,1,0,18/08/2023,Valencia,Las Palmas,la_liga,17,11
1,1,1,0,11,17,2,6,9,7,12,12,2,1,0,0,0,1,19/08/2023,Sociedad,Celta,la_liga,16,7
1,3,1,1,20,24,8,9,4,5,10,13,1,0,0,0,-1,0,19/08/2023,Almeria,Real Madrid,la_liga,1,14
0,2,0,2,18,8,7,2,5,3,9,14,1,5,1,1,-1,-1,19/08/2023,Osasuna,Ath Bilbao,la_liga,13,2
