FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
2,1,1,1,12,10,5,3,5,2,16,9,5,3,0,0,1,0,12/08/2022,Osasuna,Sevilla,la_liga,12,14
2,2,1,0,8,10,3,2,3,3,17,15,5,2,0,0,0,1,13/08/2022,Celta,Espanol,la_liga,6,8
0,3,0,0,12,10,6,4,4,5,6,10,1,0,0,0,-1,0,13/08/2022,Valladolid,Villarreal,la_liga,17,19
0,0,0,0,21,4,6,2,8,0,16,14,3,6,1,0,0,0,13/08/2022,Barcelona,Vallecano,la_liga,3,18
0,1,0,1,7,15,2,7,3,6,9,20,4,2,0,0,-1,-1,14/08/2022,Cadiz,Sociedad,la_liga,5,15
1,0,1,0,17,5,2,1,4,4,18,14,2,3,1,0,1,1,14/08/2022,Valencia,Girona,la_liga,16,10
1,2,1,0,10,29,6,15,2,15,11,4,3,1,0,0,-1,1,14/08/2022,Almeria,Real Madrid,la_liga,0,13
0,0,0,0,23,6,6,2,7,2,13,12,0,6,0,0,0,0,15/08/2022,Ath Bilbao,Mallorca,la_liga,1,11
0,3,0,1,10,12,0,5,3,6,14,19,2,1,0,0,-1,-1,15/08/2022,Getafe,Ath Madrid,la_liga,9,2
3,0,2,0,17,4,8,2,8,4,10,18,3,6,0,1,1,1,15/08/2022,Betis,Elche,la_liga,4,7
0,2,0,1,13,8,1,3,9,2,12,17,2,5,1,1,-1,-1,19/08/2022,Espanol,Vallecano,la_liga,8,18
1,1,0,0,18,6,2,3,12,2,20,10,3,2,1,1,0,0,19/08/2022,Sevilla,Valladolid,la_liga,14,17
2,0,1,0,16,9,3,2,2,2,11,13,2,5,0,1,1,1,20/08/2022,Osasuna,Cadiz,la_liga,12,5
1,2,0,1,13,8,7,3,5,2,22,17,7,8,0,0,-1,-1,20/08/2022,Mallorca,Betis,la_liga,11,4
1,4,1,2,15,16,2,7,2,2,12,8,2,2,0,0,-1,-1,20/08/2022,Celta,Real Madrid,la_liga,6,13
1,0,1,0,12,10,2,0,6,3,11,15,5,2,0,0,1,1,21/08/2022,Ath Bilbao,Valencia,la_liga,1,16
