FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
0,3,0,1,22,6,8,4,5,3,10,10,0,2,0,0,-1,-1,17/08/2018,Betis,Levante,la_liga,4,12
0,0,0,0,13,2,1,1,3,2,21,20,1,1,0,0,0,0,17/08/2018,Girona,Valladolid,la_liga,9,17
3,0,0,0,25,3,9,0,7,1,6,13,0,2,0,0,1,0,18/08/2018,Barcelona,Alaves,la_liga,3,0
1,1,0,1,12,14,2,5,8,7,13,14,3,2,0,0,0,-1,18/08/2018,Celta,Espanol,la_liga,5,7
1,2,1,1,16,8,7,4,4,6,16,10,2,3,0,0,-1,0,18/08/2018,Villarreal,Sociedad,la_liga,19,15
1,2,0,2,18,8,6,6,7,0,12,13,1,1,0,0,-1,-1,19/08/2018,Eibar,Huesca,la_liga,6,10
2,0,1,0,10,4,3,1,3,0,11,27,1,7,0,0,1,1,19/08/2018,Real Madrid,Getafe,la_liga,13,8
1,4,0,3,13,17,2,8,2,6,6,15,1,0,0,0,-1,-1,19/08/2018,Vallecano,Sevilla,la_liga,18,14
2,1,1,1,17,12,5,2,6,2,12,13,4,5,0,0,1,0,20/08/2018,Ath Bilbao,Leganes,la_liga,1,11
1,1,0,1,13,9,4,3,4,10,10,15,2,3,0,0,0,-1,20/08/2018,Valencia,Ath Madrid,la_liga,16,2
2,0,1,0,7,9,4,0,5,5,14,11,2,1,0,0,1,1,24/08/2018,Getafe,Eibar,la_liga,8,6
2,2,0,2,18,7,5,6,5,0,12,9,1,2,0,0,0,-1,24/08/2018,Leganes,Sociedad,la_liga,11,15
0,0,0,0,16,13,4,5,5,6,17,15,3,1,0,0,0,0,25/08/2018,Alaves,Betis,la_liga,0,4
1,0,0,0,9,13,2,3,8,5,7,8,1,1,0,0,1,0,25/08/2018,Ath Madrid,Vallecano,la_liga,2,18
0,1,0,0,7,10,4,5,6,10,13,11,1,1,0,0,-1,0,25/08/2018,Valladolid,Barcelona,la_liga,17,3
