FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
1,0,1,0,16,6,9,3,4,2,14,18,0,1,0,0,1,1,18/08/2017,Leganes,Alaves,la_liga,12,0
1,0,1,0,22,5,6,4,5,2,25,13,3,3,0,1,1,1,18/08/2017,Valencia,Las Palmas,la_liga,18,11
2,3,1,1,16,13,5,6,5,4,12,11,3,1,0,0,-1,0,19/08/2017,Celta,Sociedad,la_liga,5,17
2,2,2,0,13,9,6,3,6,0,15,15,2,4,0,1,0,1,19/08/2017,Girona,Ath Madrid,la_liga,9,2
1,1,1,1,9,9,4,6,7,3,14,12,2,4,1,0,0,0,19/08/2017,Sevilla,Espanol,la_liga,16,7
0,0,0,0,12,8,2,2,7,6,16,15,1,3,0,1,0,0,20/08/2017,Ath Bilbao,Getafe,la_liga,1,8
2,0,2,0,15,3,2,0,8,0,16,15,2,1,0,0,1,1,20/08/2017,Barcelona,Betis,la_liga,3,4
0,3,0,2,12,16,6,8,4,4,16,12,5,1,0,1,-1,-1,20/08/2017,La Coruna,Real Madrid,la_liga,10,15
1,0,0,0,14,9,3,1,11,6,18,14,1,3,0,0,1,0,21/08/2017,Levante,Villarreal,la_liga,13,19
0,1,0,0,10,13,4,6,3,7,16,15,2,3,0,0,-1,0,21/08/2017,Malaga,Eibar,la_liga,14,6
2,1,1,1,10,9,3,2,4,6,13,9,2,2,0,0,1,0,25/08/2017,Betis,Celta,la_liga,4,5
3,0,3,0,15,6,9,1,10,4,12,22,2,2,0,0,1,1,25/08/2017,Sociedad,Villarreal,la_liga,17,19
0,2,0,0,11,23,2,11,1,14,12,10,2,3,0,0,-1,0,26/08/2017,Alaves,Barcelona,la_liga,0,3
1,0,1,0,15,7,4,2,2,3,11,15,3,4,0,0,1,1,26/08/2017,Girona,Malaga,la_liga,9,14
1,5,0,2,10,8,4,6,4,2,10,9,4,1,0,0,-1,-1,26/08/2017,Las Palmas,Ath Madrid,la_liga,11,2
2,2,1,2,24,11,5,4,6,5,11,12,0,2,1,0,0,-1,26/08/2017,Levante,La Coruna,la_liga,13,10
0,1,0,1,14,10,5,4,4,3,14,11,1,1,1,0,-1,-1,27/08/2017,Eibar,Ath Bilbao,la_liga,6,1
0,1,0,1,17,12,2,8,9,1,10,14,3,3,0,0,-1,-1,27/08/2017,Espanol,Leganes,la_liga,7,12
0,1,0,0,15,6,3,3,7,5,20,10,0,1,0,0,-1,0,27/08/2017,Getafe,Sevilla,la_liga,8,16
2,2,1,1,22,7,6,3,13,4,12,12,3,5,0,0,0,0,27/08/2017,Real Madrid,Valencia,la_liga,15,18
1,2,0,1,11,11,7,3,2,4,14,20,1,2,0,0,-1,-1,08/09/2017,Leganes,Getafe,la_liga,12,8
5,0,2,0,20,9,9,1,8,7,11,18,1,5,0,0,1,1,09/09/2017,Barcelona,Espanol,la_liga,3,7
1,1,1,1,18,5,10,2,13,3,9,16,2,3,1,0,0,0,09/09/2017,Real Madrid,Levante,la_liga,15,13
3,0,0,0,12,7,6,2,6,5,14,18,1,1,0,0,1,0,09/09/2017,Sevilla,Eibar,la_liga,16,6
0,0,0,0,11,13,0,4,4,3,16,14,1,0,0,0,0,0,09/09/2017,Valencia,Ath Madrid,la_liga,18,2
2,0,1,0,7,11,4,7,6,4,19,18,4,6,0,0,1,1,10/09/2017,Ath Bilbao,Girona,la_liga,1,9
1,0,1,0,20,5,3,3,9,4,17,17,4,4,0,0,1,1,10/09/2017,Celta,Alaves,la_liga,5,0
2,4,1,2,11,15,4,4,5,7,18,14,1,3,0,0,-1,-1,10/09/2017,La Coruna,Sociedad,la_liga,10,17
3,1,1,1,14,8,7,3,4,3,9,9,3,0,0,0,1,0,10/09/2017,Villarreal,Betis,la_liga,19,4
1,3,0,1,14,10,6,8,3,2,22,11,4,2,0,0,-1,-1,11/09/2017,Malaga,Las Palmas,la_liga,14,11
1,0,0,0,10,5,4,2,8,1,15,20,2,5,0,0,1,0,15/09/2017,Eibar,Leganes,la_liga,6,12
1,0,0,0,17,9,4,4,8,4,9,15,2,2,0,0,1,0,16/09/2017,Ath Madrid,Malaga,la_liga,2,14
2,1,1,1,17,11,7,3,6,4,13,19,2,3,0,0,1,0,16/09/2017,Betis,La Coruna,la_liga,4,10
1,2,1,0,13,7,4,5,3,4,15,14,2,4,0,0,-1,1,16/09/2017,Getafe,Barcelona,la_liga,8,3
1,1,1,1,9,13,2,5,1,3,21,11,2,1,0,0,0,0,16/09/2017,Levante,Valencia,la_liga,13,18
0,3,0,1,16,16,2,6,2,3,12,25,2,2,0,0,-1,-1,17/09/2017,Alaves,Villarreal,la_liga,0,19
0,1,0,0,13,13,0,8,8,1,14,19,2,5,0,0,-1,0,17/09/2017,Girona,Sevilla,la_liga,9,16
1,0,0,0,12,11,3,5,7,6,12,19,2,3,0,0,1,0,17/09/2017,Las Palmas,Ath Bilbao,la_liga,11,1
1,3,1,2,10,18,5,6,4,6,12,15,3,2,0,0,-1,-1,17/09/2017,Sociedad,Real Madrid,la_liga,17,15
2,1,2,0,9,11,3,1,3,5,12,14,1,4,0,0,1,1,18/09/2017,Espanol,Celta,la_liga,7,5
6,1,2,0,11,13,10,4,7,7,4,9,0,2,0,0,1,1,19/09/2017,Barcelona,Eibar,la_liga,3,6
5,0,1,0,16,11,11,2,4,9,9,10,0,1,0,0,1,1,19/09/2017,Valencia,Malaga,la_liga,18,14
1,2,0,0,12,16,7,9,6,0,12,12,0,2,0,0,-1,0,20/09/2017,Ath Bilbao,Ath Madrid,la_liga,1,2
1,0,1,0,15,8,3,3,5,2,16,19,0,2,0,0,1,1,20/09/2017,La Coruna,Alaves,la_liga,10,0
0,0,0,0,12,10,1,0,6,3,19,20,2,3,0,0,0,0,20/09/2017,Leganes,Girona,la_liga,12,9
0,1,0,0,27,12,7,4,12,3,13,11,0,3,0,0,-1,0,20/09/2017,Real Madrid,Betis,la_liga,15,4
1,0,0,0,14,6,9,0,12,0,21,8,2,2,0,0,1,0,20/09/2017,Sevilla,Las Palmas,la_liga,16,11
1,1,1,0,8,10,4,3,3,2,9,21,2,4,0,0,0,1,21/09/2017,Celta,Getafe,la_liga,5,8
3,0,1,0,13,13,9,3,3,6,13,11,2,0,0,1,1,1,21/09/2017,Levante,Sociedad,la_liga,13,17
0,0,0,0,14,10,5,3,5,5,17,10,5,2,0,0,0,0,21/09/2017,Villarreal,Espanol,la_liga,19,7
1,2,1,2,8,21,3,7,5,13,19,19,5,2,0,0,-1,-1,23/09/2017,Alaves,Real Madrid,la_liga,0,15
2,0,0,0,13,11,4,0,7,6,11,17,4,3,0,0,1,0,23/09/2017,Ath Madrid,Sevilla,la_liga,2,16
0,3,0,1,13,9,2,5,9,3,21,5,3,0,0,0,-1,-1,23/09/2017,Girona,Barcelona,la_liga,9,3
3,3,1,1,15,8,7,7,5,1,16,8,7,2,1,0,0,0,23/09/2017,Malaga,Ath Bilbao,la_liga,14,1
0,4,0,3,9,10,0,6,4,4,14,5,2,1,0,0,-1,-1,24/09/2017,Eibar,Celta,la_liga,6,5
4,1,2,0,17,21,5,6,4,6,16,7,1,2,0,0,1,1,24/09/2017,Espanol,La Coruna,la_liga,7,10
4,0,0,0,17,6,8,1,7,4,11,16,1,4,0,0,1,0,24/09/2017,Getafe,Villarreal,la_liga,8,19
0,2,0,0,8,9,3,3,3,2,10,15,1,3,0,0,-1,0,24/09/2017,Las Palmas,Leganes,la_liga,11,12
2,3,1,1,18,13,6,4,7,6,11,13,3,7,1,1,-1,0,24/09/2017,Sociedad,Valencia,la_liga,17,18
4,0,0,0,14,8,6,1,6,3,9,5,1,0,0,0,1,0,25/09/2017,Betis,Levante,la_liga,4,13
3,3,2,2,16,10,9,6,5,6,9,17,2,5,0,0,0,0,29/09/2017,Celta,Girona,la_liga,5,9
2,1,0,0,15,10,9,3,8,5,16,22,6,3,0,0,1,0,30/09/2017,La Coruna,Getafe,la_liga,10,8
0,0,0,0,7,11,3,2,2,6,13,13,2,1,0,0,0,0,30/09/2017,Leganes,Ath Madrid,la_liga,12,2
0,2,0,1,13,8,0,3,8,4,11,18,2,4,0,0,-1,-1,30/09/2017,Levante,Alaves,la_liga,13,0
2,0,0,0,12,11,5,4,4,6,11,12,2,1,0,0,1,0,30/09/2017,Sevilla,Malaga,la_liga,16,14
3,0,0,0,22,10,10,1,8,3,10,11,5,1,0,0,1,0,01/10/2017,Barcelona,Las Palmas,la_liga,3,11
2,0,1,0,22,8,8,3,10,3,8,10,2,2,0,0,1,1,01/10/2017,Real Madrid,Espanol,la_liga,15,7
