FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR_code,HTR_code,Date,HomeTeam,AwayTeam,League,HomeTeamCode,AwayTeamCode
0,0,0,0,8,6,1,3,3,3,17,13,4,4,1,0,0,0,12/09/2020,Eibar,Celta,la_liga,7,6
2,0,0,0,4,9,2,2,1,2,8,10,3,4,0,0,1,0,12/09/2020,Granada,Ath Bilbao,la_liga,10,1
0,2,0,1,12,6,3,4,6,2,14,21,2,2,0,0,-1,-1,12/09/2020,Cadiz,Osasuna,la_liga,5,13
0,1,0,0,7,11,2,4,6,4,19,17,3,3,0,0,-1,0,13/09/2020,Alaves,Betis,la_liga,0,4
1,1,1,0,8,8,3,2,5,3,15,17,4,1,0,0,0,1,13/09/2020,Valladolid,Sociedad,la_liga,18,16
1,1,0,1,15,10,4,3,6,6,10,22,1,1,0,0,0,-1,13/09/2020,Villarreal,Huesca,la_liga,19,11
4,2,2,2,14,19,8,8,3,4,9,14,1,3,0,0,1,0,13/09/2020,Valencia,Levante,la_liga,17,12
2,1,0,0,14,12,8,4,4,3,5,12,1,1,0,0,1,0,19/09/2020,Villarreal,Eibar,la_liga,19,7
1,0,0,0,7,10,1,3,4,1,19,13,4,2,0,0,1,0,19/09/2020,Getafe,Osasuna,la_liga,9,13
2,1,1,0,23,9,6,3,6,6,12,13,3,1,0,0,1,1,19/09/2020,Celta,Valencia,la_liga,6,17
0,2,0,1,4,6,0,4,2,1,18,23,3,3,0,0,-1,-1,20/09/2020,Huesca,Cadiz,la_liga,11,5
2,0,2,0,16,9,6,2,5,3,18,10,3,0,0,0,1,1,20/09/2020,Betis,Valladolid,la_liga,4,18
2,1,1,1,10,5,3,3,4,4,9,12,0,3,0,0,1,0,20/09/2020,Granada,Alaves,la_liga,10,0
0,0,0,0,6,16,1,4,1,11,17,12,2,2,0,0,0,0,20/09/2020,Sociedad,Real Madrid,la_liga,16,14
0,0,0,0,9,11,0,4,1,5,13,13,2,2,0,0,0,0,26/09/2020,Alaves,Getafe,la_liga,0,9
1,1,1,0,5,17,2,4,4,4,14,20,0,1,0,0,0,1,26/09/2020,Valencia,Huesca,la_liga,17,11
0,3,0,0,5,27,2,7,2,11,11,12,3,1,0,0,-1,0,26/09/2020,Elche,Sociedad,la_liga,8,16
2,3,2,1,15,11,5,4,8,3,9,10,5,2,1,0,-1,1,26/09/2020,Betis,Real Madrid,la_liga,4,14
1,3,1,1,9,11,4,5,3,7,15,16,2,0,0,0,-1,0,27/09/2020,Osasuna,Levante,la_liga,13,12
1,2,0,1,7,9,1,5,5,4,15,12,1,0,0,0,-1,-1,27/09/2020,Eibar,Ath Bilbao,la_liga,7,1
6,1,1,0,17,11,10,6,1,1,16,14,3,1,0,0,1,1,27/09/2020,Ath Madrid,Granada,la_liga,2,10
1,3,0,0,12,14,5,5,6,5,9,14,4,2,0,0,-1,0,27/09/2020,Cadiz,Sevilla,la_liga,5,15
1,1,0,1,10,5,4,1,4,1,26,18,3,4,0,0,0,-1,27/09/2020,Valladolid,Celta,la_liga,18,6
4,0,4,0,17,5,9,1,8,4,9,10,0,1,0,0,1,1,27/09/2020,Barcelona,Villarreal,la_liga,3,19
0,1,0,0,11,9,3,5,9,3,16,15,1,5,0,0,-1,0,29/09/2020,Sociedad,Valencia,la_liga,16,17
3,0,3,0,8,10,4,2,1,4,15,17,4,4,0,1,1,1,29/09/2020,Getafe,Betis,la_liga,9,4
0,0,0,0,9,16,3,2,5,7,13,10,1,0,0,0,0,0,30/09/2020,Huesca,Ath Madrid,la_liga,11,2
3,1,2,1,10,8,6,3,2,0,11,13,0,2,0,0,1,1,30/09/2020,Villarreal,Alaves,la_liga,19,0
0,1,0,1,12,5,4,2,3,2,9,14,2,2,0,0,-1,-1,30/09/2020,Eibar,Elche,la_liga,7,8
1,0,0,0,15,11,5,5,4,7,11,7,2,1,0,0,1,0,30/09/2020,Real Madrid,Valladolid,la_liga,14,18
